frame_i,frame_j,accepted,n_matches,n_points_3d,n_inliers,inlier_ratio,rot_deg,trans_m,reasons
0,1,1,940,766,685,0.8942558746736292,0.39980618326434225,0.6665398196925907,
1,2,1,969,774,704,0.9095607235142119,0.31903774070449126,0.6645671650715538,
2,3,1,1007,792,731,0.922979797979798,0.2609603036839558,0.6738978724571787,
3,4,1,953,760,702,0.9236842105263158,0.26576403757369005,0.6777230571640344,
4,5,1,977,808,748,0.9257425742574258,0.20842781828342613,0.6798388359024213,
5,6,1,990,782,734,0.9386189258312021,0.16169939176837614,0.6815868484091384,
6,7,1,1019,774,718,0.9276485788113695,0.23205591437271156,0.6881181917770907,
7,8,1,986,750,684,0.912,0.302062546159673,0.6903192651338432,
8,9,1,919,703,628,0.8933143669985776,0.4123899147427544,0.6997781439047404,
9,10,1,901,692,646,0.9335260115606936,0.48743014693846193,0.699868140576333,
10,11,1,860,688,599,0.8706395348837209,0.5797130859331965,0.7074351932933938,
11,12,1,860,685,641,0.9357664233576642,0.6342590046363118,0.7102494982972841,
12,13,1,821,685,634,0.9255474452554745,0.6510128313153957,0.7090778562606164,
13,14,1,875,728,640,0.8791208791208791,0.6605213299353819,0.7190907653553704,
14,15,1,882,719,668,0.9290681502086231,0.6291639835010077,0.711897444601694,
15,16,1,907,731,680,0.9302325581395349,0.5875271369155786,0.7164191039587614,
16,17,1,919,742,711,0.9582210242587601,0.5467745432635484,0.7170518084856329,
17,18,1,923,727,682,0.938101788170564,0.5437074251399097,0.7264908639102517,
18,19,1,973,753,657,0.8725099601593626,0.5124621454832033,0.7281897806033262,
19,20,1,964,722,682,0.9445983379501385,0.5164413905897403,0.7182494254528843,
20,21,1,983,730,690,0.9452054794520548,0.4728241699097705,0.7133260312310092,
21,22,1,996,738,657,0.8902439024390244,0.37644313327132434,0.7113209310807915,
22,23,1,934,741,608,0.8205128205128205,0.36130382944742384,0.7268813182574055,
23,24,1,967,762,706,0.926509186351706,0.2773870350491995,0.7138893028931287,
24,25,1,945,778,721,0.9267352185089974,0.23534727387301818,0.7109566132817242,
25,26,1,927,735,673,0.9156462585034013,0.23791194252697123,0.7096243383820553,
26,27,1,1011,804,751,0.9340796019900498,0.2202752727232714,0.704394036899993,
27,28,1,983,781,706,0.9039692701664532,0.14802581307305418,0.7022867756770969,
